record_type,lesson_day,platform,title,creator,source_page,media_url,license,license_url,retrieved,modifications,course_use,notes
Visual example,1,Wikimedia Commons,Sunlight and Shadow.jpg,Albert Bierstadt,https://commons.wikimedia.org/wiki/File:Sunlight_and_Shadow.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Sunlight_and_Shadow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 01 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,2,Wikimedia Commons,Naoyoshi - Kashira with Mountain Landscape and Waterfall - Walters 51927.jpg,Naoyoshi (Japanese),https://commons.wikimedia.org/wiki/File:Naoyoshi_-_Kashira_with_Mountain_Landscape_and_Waterfall_-_Walters_51927.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Naoyoshi_-_Kashira_with_Mountain_Landscape_and_Waterfall_-_Walters_51927.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 02 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,3,Wikimedia Commons,Vous avez dit architecture?.jpg,Regine7,https://commons.wikimedia.org/wiki/File:Vous_avez_dit_architecture%3F.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Vous_avez_dit_architecture%3F.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 03 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,4,Wikimedia Commons,Construction of paths on Great Lines - geograph.org.uk - 1729345.jpg,David Anstiss,https://commons.wikimedia.org/wiki/File:Construction_of_paths_on_Great_Lines_-_geograph.org.uk_-_1729345.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Construction_of_paths_on_Great_Lines_-_geograph.org.uk_-_1729345.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 04 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,5,Wikimedia Commons,"Dülmen, Viktorkirmes auf dem Overbergplatz -- 2014 -- 3738 (2).jpg",Dietmar Rabich,"https://commons.wikimedia.org/wiki/File:D%C3%BClmen,_Viktorkirmes_auf_dem_Overbergplatz_--_2014_--_3738_(2).jpg",https://upload.wikimedia.org/wikipedia/commons/3/3f/D%C3%BClmen%2C_Viktorkirmes_auf_dem_Overbergplatz_--_2014_--_3738_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 05 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,6,Wikimedia Commons,"Münster, LVM, Bürogebäude -- 2013 -- 5149-51.jpg",Dietmar Rabich,"https://commons.wikimedia.org/wiki/File:M%C3%BCnster,_LVM,_B%C3%BCrogeb%C3%A4ude_--_2013_--_5149-51.jpg",https://upload.wikimedia.org/wikipedia/commons/3/3a/M%C3%BCnster%2C_LVM%2C_B%C3%BCrogeb%C3%A4ude_--_2013_--_5149-51.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 06 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,7,Wikimedia Commons,"Thunderstorms Just East of Louisville, Kentucky (14497064722).jpg","Ken Lund from Las Vegas, Nevada, USA","https://commons.wikimedia.org/wiki/File:Thunderstorms_Just_East_of_Louisville,_Kentucky_(14497064722).jpg",https://upload.wikimedia.org/wikipedia/commons/5/5a/Thunderstorms_Just_East_of_Louisville%2C_Kentucky_%2814497064722%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 07 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,8,Wikimedia Commons,"Toms Shash, a Warm Springs Apache, left; Jennifer Ploch, of Aztec ancestry, right; Saba Shash, Mr. Shash's adopted daughter; and her daughter Tonantzin Conway at a gathering of North American Native LCCN2015633899.tif",Carol M. Highsmith,"https://commons.wikimedia.org/wiki/File:Toms_Shash,_a_Warm_Springs_Apache,_left;_Jennifer_Ploch,_of_Aztec_ancestry,_right;_Saba_Shash,_Mr._Shash%27s_adopted_daughter;_and_her_daughter_Tonantzin_Conway_at_a_gathering_of_North_American_Native_LCCN2015633899.tif",https://upload.wikimedia.org/wikipedia/commons/1/1d/Toms_Shash%2C_a_Warm_Springs_Apache%2C_left%3B_Jennifer_Ploch%2C_of_Aztec_ancestry%2C_right%3B_Saba_Shash%2C_Mr._Shash%27s_adopted_daughter%3B_and_her_daughter_Tonantzin_Conway_at_a_gathering_of_North_American_Native_LCCN2015633899.tif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 08 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,9,Wikimedia Commons,"W.E.F. Britten - The Early Poems of Alfred, Lord Tennyson - The Deserted House.jpg",William Edward Frank Britten (1848–1916) Adam Cuerden (restoration),"https://commons.wikimedia.org/wiki/File:W.E.F._Britten_-_The_Early_Poems_of_Alfred,_Lord_Tennyson_-_The_Deserted_House.jpg",https://upload.wikimedia.org/wikipedia/commons/a/ab/W.E.F._Britten_-_The_Early_Poems_of_Alfred%2C_Lord_Tennyson_-_The_Deserted_House.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 09 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
Visual example,10,Wikimedia Commons,Young Greek Performer in Traditional Vest and Headscarf – Cultural Portrait.jpg,Redhatstudiophotography,https://commons.wikimedia.org/wiki/File:Young_Greek_Performer_in_Traditional_Vest_and_Headscarf_%E2%80%93_Cultural_Portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Young_Greek_Performer_in_Traditional_Vest_and_Headscarf_%E2%80%93_Cultural_Portrait.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-14,"Scaled and, where necessary, cropped for layout; instructional observations added separately.",Day 10 workbook and slide example,"No endorsement implied. Check privacy, publicity, trademark, artwork, and property rights for the intended market."
